driverId,week,hours-logged,miles-logged

80,10,55,600

94,21,78,3700

11,35,59,500

37,32,51,800

12,28,58,2900

27,34,59,3500

55,43,78,3400

16,25,64,1700

78,24,70,3800

77,11,76,1700

52,29,57,0

86,16,59,3100

94,52,56,1600

29,22,69,3900

51,29,77,300

71,14,55,2100

27,24,77,2500

60,8,73,3600

95,16,55,1500

36,16,58,2100

89,7,51,2700

27,46,69,2600

62,49,73,3100

93,14,65,400

56,44,58,1500

39,22,64,2800

52,23,57,3000

92,29,73,2200

69,34,51,2100

41,31,66,4000

45,17,66,900

107,50,68,1500

33,12,50,3900

94,43,61,3500

97,33,74,3400

19,36,52,3200

26,2,67,1500

14,35,60,4000

84,46,77,700

100,40,61,1000

69,34,68,2700

21,18,80,100

66,27,52,2700

27,41,71,1000

66,31,55,200

72,18,75,2000

56,1,56,2800

55,32,77,3200

70,23,79,3200

64,23,79,3200

78,5,66,2200

57,40,58,1200

106,16,74,0

22,23,58,900

48,28,55,1700

27,49,79,900

92,30,67,2500

55,8,62,1300

47,47,63,2200

52,33,76,3800

61,40,53,3700

77,24,75,3800

47,20,59,500

22,24,64,700

77,20,77,2700

41,11,57,3500

74,49,77,2300

16,49,76,400

12,1,74,1200

67,15,76,3300

109,42,57,1000

105,21,72,3900

36,28,57,3400

92,4,79,1800

83,14,51,100

86,9,60,3200

40,13,57,1100

77,3,63,2600

39,20,77,1600

73,13,57,0

64,27,58,500

88,50,65,1300

18,41,65,1800

65,24,80,3500

93,22,78,3500

65,31,63,3600

57,51,68,2400

90,49,57,3900

28,19,58,3900

82,3,67,3800

63,1,58,800

59,18,52,3700

75,22,80,500

96,51,64,800

13,5,66,2200

59,24,71,2300

79,2,79,900

26,45,67,600

11,14,73,1500

78,17,60,4000

17,7,65,3100

60,32,51,3500

53,40,66,1400

10,13,50,700

67,20,69,3900

90,30,64,2900

102,25,70,1200

100,25,63,3300

88,33,73,1600

67,24,73,4000

74,35,71,200

65,29,51,400

44,19,63,500

101,36,50,0

49,9,50,0

83,46,72,300

62,36,67,800

88,7,50,2800

100,37,74,2300

36,7,73,600

42,49,69,700

98,18,79,2600

96,36,55,3100

64,30,63,900

48,22,63,1000

84,12,74,1500

46,26,75,500

19,43,60,1900

98,8,55,1000

17,37,56,1500

53,24,64,2500

103,15,72,1400

101,34,74,2900

62,23,79,600

101,15,69,3400

45,5,53,400

57,38,78,2700

65,2,78,100

83,46,79,1000

15,39,75,3500

13,11,70,500

56,15,71,400

88,41,75,200

77,16,56,2300

92,44,71,3800

57,21,76,800

52,28,73,3200

30,3,50,700

94,20,59,1800

80,33,57,3400

96,16,75,3200

28,45,62,700

31,35,67,3800

16,29,73,3400

85,2,68,3900

40,6,76,800

55,34,59,2300

92,33,71,1500

60,7,72,1100

25,44,74,3400

45,5,62,1400

74,24,74,1300

16,17,57,1300

90,24,58,3800

10,22,80,3300

33,24,58,2400

102,41,77,2900

52,44,51,3000

93,50,65,1600

64,29,50,3600

36,49,54,400

48,44,64,1400

15,18,74,300

39,24,60,3900

45,20,51,2900

48,12,50,3200

58,14,67,2000

71,42,80,3500

90,41,80,2100

103,22,59,3100

59,29,73,400

102,47,80,3200

26,4,75,3700

102,2,54,2100

107,26,80,3100

99,4,65,1600

24,12,60,4000

101,3,75,4000

28,12,58,2600

101,2,68,1500

48,22,62,2400

53,9,61,1300

19,34,72,3200

26,40,72,800

18,11,69,0

105,20,52,2600

87,7,74,2700

28,25,59,1600

52,42,68,2900

67,46,50,1300

38,7,74,900

35,49,61,0

46,24,74,2700

43,41,54,2800

78,19,62,1000

109,20,79,500

16,51,70,500

91,7,70,3400

71,13,77,4000

52,37,72,600

40,16,59,3500

36,40,52,1000

31,43,74,1600

29,43,52,3400

87,21,51,2400

39,14,65,3000

19,50,61,1200

100,1,50,1800

20,44,54,3900

101,49,60,100

10,23,50,100

21,42,60,200

23,23,79,2500

83,30,79,1900

20,35,66,0

55,13,76,3000

96,34,57,3800

107,27,76,0

91,21,66,3800

16,42,63,2600

91,16,79,1900

87,35,65,3900

13,27,65,3800

27,23,61,400

11,9,56,3100

20,44,66,1200

80,42,64,800

33,20,77,3500

101,44,68,400

104,25,66,300

37,38,78,1500

35,7,70,3300

90,9,56,3800

69,34,55,2100

51,30,52,400

107,27,50,2100

104,29,64,100

56,44,58,900

67,28,68,400

36,48,80,1200

104,43,79,1700

51,40,79,1700

65,33,75,1200

84,42,51,1000

85,1,72,1400

40,42,61,500

72,38,70,2100

21,36,71,3200

89,12,59,2100

57,21,57,400

80,38,52,2400

85,15,63,1200

66,15,73,1600

27,8,54,800

109,22,77,2600

71,12,74,3300

39,42,77,1000

60,36,69,100

44,5,56,3900

81,15,65,1900

21,35,62,3400

93,49,68,3900

88,39,75,2400

69,46,74,200

80,7,73,1700

63,17,64,3300

104,24,58,4000

77,8,60,3000

53,52,62,3400

11,22,77,1900

14,37,55,2100

95,33,55,3400

66,37,53,3800

96,31,57,100

56,49,72,1600

53,37,59,1500

24,20,71,300

79,21,58,3900

56,4,73,900

49,43,51,3600

27,25,62,3300

20,26,65,900

34,43,51,1600

63,42,51,2800

38,39,51,3100

88,15,69,1900

17,14,80,3700

17,36,79,0

58,31,57,3300

44,30,51,1600

18,23,62,400

84,44,80,300

90,10,67,800

54,12,61,3200

105,48,75,200

78,51,50,3800

13,30,60,3900

104,5,66,2000

83,32,54,400

72,1,50,200

26,21,66,2300

38,1,69,1400

80,9,53,1100

69,26,56,2400

83,6,50,900

27,37,72,2800

96,3,54,800

38,35,51,1400

39,39,66,1600

15,20,80,1900

11,10,62,2100

91,14,79,300

100,33,67,300

81,23,79,1400

30,49,73,500

31,42,77,3500

77,14,73,0

66,11,71,3500

48,34,80,1900

108,1,54,500

68,12,53,1100

65,44,50,2300

77,11,61,3200

56,33,74,3500

90,28,58,3100

92,35,69,2100

35,34,56,1300

106,16,70,2200

66,48,55,3100

12,40,55,1700

31,26,70,100

94,39,72,1100

76,28,77,2000

65,32,65,1600

13,2,51,3500

33,30,56,1600

98,1,77,2200

95,15,54,2600

105,37,66,2500

109,29,77,1100

102,51,69,2900

78,24,65,3800

29,34,58,2900

92,12,59,3000

51,18,63,3300

27,45,63,700

19,29,57,2600

18,40,71,3900

38,43,55,1500

62,49,63,2400

48,34,71,3000

63,10,77,2700

35,30,79,0

76,45,54,1500

41,52,78,3000

75,28,76,1300

43,51,56,700

54,48,57,2700

72,2,50,3800

98,42,52,0

24,3,72,2400

45,44,74,1800

30,46,61,1700

74,29,50,2100

55,16,63,4000

108,24,56,4000

104,5,80,1500

16,25,53,1800

10,10,50,300

29,43,54,3000

97,16,69,3400

30,23,77,3100

83,39,77,2400

82,25,50,3800

95,12,51,500

64,17,57,1300

83,31,59,400

46,14,55,3800

41,19,67,2500

99,4,57,2600

38,45,75,1200

90,4,63,700

77,35,50,1000

14,42,80,3900

30,7,73,3500

69,49,61,2400

90,35,57,3600

104,2,63,4000

71,49,60,3300

106,46,63,1200

103,9,70,3600

49,42,70,2200

58,31,57,2500

47,43,59,1100

84,38,57,2100

69,4,55,1700

44,21,69,1300

104,3,55,1200

45,31,63,300

43,12,69,1300

59,34,72,2700

10,14,67,2400

37,51,59,2300

51,40,75,3100

35,2,73,2700

32,42,65,2300

98,11,69,500

45,14,67,3500

92,24,66,3300

15,3,75,800

72,14,56,1200

27,26,53,2600

33,28,77,4000

84,21,71,2200

40,31,74,3100

38,33,68,200

84,1,79,3100

88,44,68,1200

103,13,61,1400

83,34,59,3700

99,50,77,900

26,22,68,3200

17,26,77,1800

46,32,79,400

61,34,77,2700

81,2,64,600

84,17,54,2800

108,45,70,1800

61,51,57,3000

73,3,64,2800

71,34,53,3000

62,48,66,1200

50,32,66,3800

57,25,53,3800

76,30,72,2900

66,3,79,1800

69,29,51,1800

65,42,75,300

69,25,61,700

55,30,58,900

106,19,73,2900

76,20,68,1700

49,37,77,3400

55,49,65,1000

80,16,71,1500

89,21,68,2300

45,40,57,1300

40,13,80,400

95,17,68,2700

56,35,73,100

55,3,62,700

29,39,58,1800

92,10,58,2500

44,10,78,1800

84,31,71,3900

82,3,67,400

105,19,72,400

97,23,77,2500

37,37,55,1900

11,21,74,1500

45,2,79,2000

47,49,78,1100

51,27,63,200

13,44,65,1200

51,1,64,1400

13,34,71,2000

30,1,70,900

32,13,80,3300

71,12,58,2700

21,38,73,600

102,15,73,400

35,2,78,3000

77,29,67,2300

55,26,80,3800

31,50,73,2000

85,18,66,2800

71,2,50,2500

82,7,71,1500

44,1,77,500

55,30,54,400

10,29,55,3000

108,22,78,2100

105,25,51,2200

40,13,53,100

65,12,52,0

50,30,51,1800

61,9,57,700

28,47,71,600

25,41,77,3700

68,34,65,2500

87,46,76,100

69,44,69,3100

74,34,54,100

76,35,68,300

25,37,59,3000

39,24,53,4000

98,47,70,1200

22,33,75,0

90,49,61,1100

23,42,60,1200

61,32,79,3000

26,23,50,3100

98,16,59,200

23,27,64,100

49,13,51,2000

57,27,64,2100

101,25,56,3600

61,23,54,2700

80,49,78,2500

20,39,60,1900

92,27,67,900

79,43,66,0

57,45,53,3300

97,42,68,2000

13,51,70,2400

91,29,52,2600

63,32,54,600

56,39,56,200

101,12,50,3100

80,17,60,3500

21,47,76,3200

75,31,57,2600

24,48,61,500

46,50,52,2100

25,44,80,1000

43,28,51,3400

90,23,71,2600

56,11,66,500

109,25,51,2800

76,25,66,3100

41,34,62,3100

50,52,54,500

91,25,77,300

11,20,61,2700

22,20,75,1300

24,36,78,2200

104,43,75,400

29,15,56,3000

22,24,66,2200

94,34,73,3400

57,47,67,2900

66,7,72,1100

40,9,74,3400

78,37,71,300

81,25,79,700

69,36,75,2000

80,12,62,1500

44,5,70,1100

39,47,55,3700

55,34,59,1300

22,21,58,3100

95,31,60,1300

42,42,60,700

56,21,71,2400

47,43,75,1100

54,7,51,1100

97,35,55,3400

48,6,60,1600

62,38,75,1100

37,35,61,300

105,19,58,2600

109,20,56,2200

11,13,80,1300

106,13,54,3000

10,21,61,1300

63,45,76,100

43,8,75,900

42,37,74,900

85,26,61,700

33,3,52,200

64,17,58,2600

54,49,50,1200

84,14,52,1900

35,7,51,2300

80,14,55,2500

97,43,51,1200

63,29,50,1700

87,41,52,3400

33,18,73,1000

12,26,71,300

60,17,64,1400

42,10,58,2100

95,36,59,2000

89,16,65,900

24,15,61,900

80,21,68,200

87,16,75,3100

48,32,51,1600

42,25,80,1100

105,32,65,1700

66,2,50,1500

109,4,75,2900

56,26,79,1300

86,8,50,900

75,7,55,2900

30,3,68,2400

52,44,57,2100

109,25,79,500

95,44,79,3100

54,52,65,3200

88,25,71,3500

54,52,72,2100

56,47,62,2300

31,45,75,1200

61,20,61,1700

75,9,75,1700

53,13,51,3700

39,13,66,3700

26,32,65,2800

32,50,53,3200

38,3,76,1000

22,23,67,2300

17,6,67,1900

28,49,66,1300

106,9,77,700

76,52,78,2000

20,34,57,2000

99,23,76,3300

37,26,70,900

50,23,74,1500

75,11,57,3600

101,10,72,3000

55,35,66,2600

76,49,56,2300

93,16,77,2000

59,21,80,3800

21,47,60,3700

90,8,63,900

36,42,80,1400

57,52,73,3000

103,45,65,200

65,30,50,200

86,25,65,1600

49,20,55,2500

102,8,59,1600

26,19,70,1500

79,31,69,1500

